telepules;elhunytak;nepesseg;lats;longs;location_levels
Budapest;2850;1752286;47.4983815;19.0404707;LocLevel.PRECISE
Miskolc;324;159265;48.1030643;20.7900429;LocLevel.PRECISE
Debrecen;246;202402;47.531399;21.6259782;LocLevel.PRECISE
Szeged;226;162868;46.2546312;20.1486016;LocLevel.PRECISE
Nyíregyháza;221;119767;47.9557802;21.7167982;LocLevel.PRECISE
Kecskemét;204;110621;46.9080769;19.6928133;LocLevel.PRECISE
Pécs;176;148030;46.0763222;18.2280746;LocLevel.PRECISE
Győr;164;124685;47.687609;17.6346815;LocLevel.PRECISE
Kaposvár;142;63298;46.3564692;17.7886886;LocLevel.PRECISE
Szombathely;137;76334;47.2291184;16.6187625;LocLevel.PRECISE
Székesfehérvár;133;96373;47.1910169;18.410811;LocLevel.PRECISE
Szolnok;124;70447;47.1754555;20.1946818;LocLevel.PRECISE
Tatabánya;124;68698;47.5837788;18.3980308;LocLevel.PRECISE
Zalaegerszeg;111;57513;46.8415803;16.8456316;LocLevel.PRECISE
Békéscsaba;106;59542;46.6798003;21.0985425;LocLevel.PRECISE
Eger;95;52660;47.8989887;20.3743665;LocLevel.PRECISE
Hódmezővásárhely;82;44808;46.4171344;20.3196068;LocLevel.PRECISE
Kiskunfélegyháza;81;30155;46.7113263;19.8502905;LocLevel.PRECISE
Veszprém;81;55936;47.0928058;17.9140147;LocLevel.PRECISE
Sopron;80;58294;47.6803063;16.5983457;LocLevel.PRECISE
Salgótarján;78;35470;48.0960676;19.8005642;LocLevel.PRECISE
Nagykanizsa;76;46835;46.4548261;16.9923923;LocLevel.PRECISE
Gyöngyös;73;29036;47.7799838;19.9291176;LocLevel.PRECISE
Gyula;72;30501;46.6438656;21.2747575;LocLevel.PRECISE
Kiskunhalas;70;28392;46.4278497;19.4833076;LocLevel.PRECISE
Érd;63;69014;47.3772495;18.9213833;LocLevel.PRECISE
Ózd;61;35114;48.2196425;20.2954986;LocLevel.PRECISE
Szekszárd;61;32488;46.3484884;18.701663;LocLevel.PRECISE
Ajka;58;28455;47.1056579;17.5587276;LocLevel.PRECISE
Dunaújváros;55;45493;46.9670241;18.9397061;LocLevel.PRECISE
Esztergom;53;29476;47.7856977;18.7403349;LocLevel.PRECISE
Vác;52;34102;47.7782873;19.1278294;LocLevel.PRECISE
Komló;51;24886;46.1911673;18.2613778;LocLevel.PRECISE
Pápa;49;30053;47.3261087;17.4705293;LocLevel.PRECISE
Törökszentmiklós;49;20913;47.1793568;20.409153;LocLevel.PRECISE
Baja;47;36041;-12.285251;-41.9294776;LocLevel.PRECISE
Nagykőrös;47;23851;47.0374257;19.7863141;LocLevel.PRECISE
Szigetszentmiklós;47;39439;47.345765;19.0409037;LocLevel.PRECISE
Mosonmagyaróvár;46;32454;47.8731793;17.2722342;LocLevel.PRECISE
Dunakeszi;45;43813;47.6316697;19.1294055;LocLevel.PRECISE
Budaörs;44;29709;47.4600185;18.9541818;LocLevel.PRECISE
Hatvan;43;20639;47.6683971;19.6743874;LocLevel.PRECISE
Karcag;43;20074;47.314646;20.9240941;LocLevel.PRECISE
Hajdúböszörmény;41;30854;47.6716617;21.5078944;LocLevel.PRECISE
Kalocsa;41;16106;46.5230265;18.9825043;LocLevel.PRECISE
Hajdúszoboszló;40;24185;47.4431291;21.3902995;LocLevel.PRECISE
Balassagyarmat;39;15025;48.0768832;19.2926037;LocLevel.PRECISE
Cegléd;39;36909;47.1716447;19.7977516;LocLevel.PRECISE
Gödöllő;38;32043;47.6052871;19.3535185;LocLevel.PRECISE
Orosháza;38;28647;46.5603339;20.6693477;LocLevel.PRECISE
Tapolca;37;15706;46.8820972;17.4389619;LocLevel.PRECISE
Mezőtúr;36;16930;47.0004724;20.6299513;LocLevel.PRECISE
