sorszam;megye;jaras_v_kerulet;intezmeny_nev;cim;dolgozo_letszam;ferohely;cpoz_dolgozo_szam;cpoz_gondozott_szam;cpoz_dolgozo_korhazi_ellatas;cpoz_gondozott_korhazi_ellatas;cpoz_dolgozo_elhunyt;cpoz_gondozott_elhunyt;cpoz_dolgozo_gyogyult;cpoz_gondozott_gyogyult;lats;longs;location_levels
1.0;Budapest;XIV. kerület;Olajág Otthonok;1149 Budapest, Vezér utca 151-155. illetve 1149 Budapest,  Termál utca 10. ;221.0;560.0;18.0;8.0;0.0;1.0;0.0;0.0;0.0;0.0;47.51466968281718;19.115810240797416;LocLevel.POSTCODE
2.0;Budapest;XIV. kerület;Olajág Otthonok;1154 Budapest, Bánkút utca 6769;161.0;376.0;9.0;22.0;0.0;1.0;0.0;1.0;9.0;20.0;47.5472817;19.1275973;LocLevel.PRECISE
3.0;Budapest;XIV. kerület;Bolla Árpád Evangélikus Szeretetotthon;1152 Budapest, Juhos utca 28.;21.0;36.0;6.0;25.0;0.0;0.0;0.0;4.0;6.0;21.0;47.565611700000005;19.12707359334683;LocLevel.PRECISE
4.0;Budapest;XIV. kerület;Bolla Árpád Evangélikus Szeretetotthon;1151 Budapest, Pozsony utca 22.;5.0;10.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;47.5677936;19.1202423;LocLevel.PRECISE
5.0;Budapest;X. kerület;Fővárosi Önkormányzat Pesti Úti Idősek Otthona;1173 Budapest, Pesti út 117.;202.0;544.0;7.0;8.0;0.0;0.0;0.0;1.0;0.0;0.0;47.47988225;19.247214724843758;LocLevel.PRECISE
6.0;Budapest;X. kerület;Humán Szolgáltató Nonprofit Kft. - Borostyán Időskorúak Gondozóháza;1183 Budapest Frangepán u. 52.;12.0;25.0;1.0;24.0;0.0;1.0;0.0;0.0;0.0;0.0;47.4587639;19.1970082;LocLevel.PRECISE
7.0;Budapest;X. kerület;Fővárosi Önkormányzat Halom Utcai Idősek Otthona;1102 Budapest,Halom utca 31.;52.0;35.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47.4841679;19.13269077423707;LocLevel.PRECISE
8.0;Budapest;X. kerület;Fővárosi Önkormányzat Óhegy Utcai Idősek Otthona;1103 Budapet, Óhegy utca 48.;35.0;63.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47.47611277958773;19.144983904104716;LocLevel.POSTCODE
9.0;Budapest;X. kerület;Piroska-Liget Idősek Otthona;1106 Budapest,Jászberényi út 24-36;31.0;80.0;7.0;74.0;0.0;8.0;0.0;10.0;5.0;56.0;47.4897378;19.1596821;LocLevel.PRECISE
10.0;Budapest;II. kerület;Időskorúak Árpád-házi Szent Ezsébet Szociális Otthona;1021 Budapest, Szerb Antal u. 13-17.;57.0;98.0;15.0;24.0;0.0;4.0;0.0;1.0;0.0;5.0;47.5268197;18.9782596;LocLevel.PRECISE
11.0;Budapest;II. kerület;Katolikus Szeretet Szolgálat XXIII. János Otthona;1029 Budapest, Máriaremetei út 187. ;78.0;57.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;47.560834150000005;18.94754233742995;LocLevel.PRECISE
12.0;Budapest;II. kerület;Derűs Alkony Gondozóház;1039 Budapest, Zipernowsky u. 3. ;19.0;52.0;1.0;18.0;0.0;5.0;0.0;3.0;0.0;0.0;47.4793479;19.0504175;LocLevel.PRECISE
13.0;Budapest;II. kerület;Hatvany Lajos Nyugdíjasház;1039 Budapest, Hatvany Lajos u. 1. ;8.0;42.0;1.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;47.5985769;19.064889214096098;LocLevel.PRECISE
14.0;Budapest;II. kerület;Mozgássérült Emberek Rehabilitációs Központja ;1022 Budapest, Marczibányi tér 3. ;116.0;60.0;6.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;47.5122543;19.0210621;LocLevel.PRECISE
15.0;Budapest;II. kerület;CAT-OTTHON;1037 Budapest, Újvári út 2. ;52.0;87.0;1.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;47.549820141651814;19.021657749056565;LocLevel.POSTCODE
16.0;Budapest;XX. kerület;Olajág Idősek Otthona;1214 Budapest, Tejút u. 1, ;61.0;145.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47.4081221;19.0603622;LocLevel.PRECISE
17.0;Budapest;V. kerület;Mindent a Betegekért alapítvány;1047 Budapest, Baross 105-107. ;22.0;50.0;8.0;28.0;0.0;0.0;0.0;1.0;8.0;27.0;47.5764678;19.0922577;LocLevel.PRECISE
18.0;Budapest;V. kerület;Fővárosi Önkormányzat Baross Utcai idősek Otthona Béla utcai telephely;1047 Budapest, Béla utca 17. ;19.0;30.0;14.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;47.579319850000005;19.084913753077696;LocLevel.PRECISE
19.0;Budapest;V. kerület;Fővárosi Önkormányzat Baross Utcai idősek Otthona  Csokonai utcai telephely;1046 Budapest, Csokonai u. 38. ;21.0;56.0;18.0;53.0;0.0;6.0;0.0;12.0;18.0;35.0;47.5654862;19.091042491987423;LocLevel.PRECISE
20.0;Budapest;V. kerület;Empátia Gondozóház ;1135 Budapest, Kerekes u. 12-20. ;41.0;159.0;15.0;95.0;0.0;3.0;0.0;16.0;15.0;76.0;47.5262292;19.0845123;LocLevel.PRECISE
21.0;Budapest;VI. kerület;Ezüstfenyő Átmeneti Idősotthon;1087 Budapest, Kerepesi út 29/a;22.0;21.0;11.0;18.0;0.0;0.0;0.0;1.0;11.0;17.0;47.4991875;19.10393405;LocLevel.PRECISE
