megye;jaras;cim;telepules_tipusa;lakossag;vedett;lats;longs;location_levels
Megye;Járás;Település;"Település
típusa";"Állandó lakosság
összesen";Védettségivel rendelkezők száma;48.195393;21.517918;LocLevel.PRECISE
PES;Szobi;Ipolytölgyes;község;319;392;47.9229018;18.7743978;LocLevel.PRECISE
SOM;Marcali;Nemeskisfalud;község;123;148;46.4402514;17.3676659;LocLevel.PRECISE
PES;Szobi;Márianosztra;község;791;792;47.8647873;18.8720666;LocLevel.PRECISE
NOG;Pásztói;Garáb;község;38;38;47.9777174;19.6384458;LocLevel.PRECISE
GYO;Csornai;Pásztori;község;398;379;47.5572596;17.2725503;LocLevel.PRECISE
NOG;Bátonyterenyei;Szuha;község;524;492;47.9781794;19.9176663;LocLevel.PRECISE
NOG;Pásztói;Cserhátszentiván;község;121;107;47.9398734;19.5802698;LocLevel.PRECISE
KOM;Tatabányai;Várgesztes;község;644;554;47.4723494;18.3971059;LocLevel.PRECISE
FEJ;Martonvásári;Tordas;község;2172;1843;47.344615;18.7527252;LocLevel.PRECISE
HEV;Gyöngyösi;Mátraszentimre;község;448;377;47.9095321;19.8798252;LocLevel.PRECISE
VAS;Körmendi;Ivánc;község;643;538;46.9393738;16.4983823;LocLevel.PRECISE
VES;Tapolcai;Révfülöp;nagyközség;1205;993;46.828315;17.6303514;LocLevel.PRECISE
SOM;Siófoki;Zamárdi;város;2665;2191;46.880099;17.9459459;LocLevel.PRECISE
VES;Balatonfüredi;Balatonszepezd;község;443;361;46.8518266;17.6637569;LocLevel.PRECISE
VAS;Körmendi;Szaknyér;község;54;44;46.8643356;16.5276734;LocLevel.PRECISE
VES;Balatonfüredi;Balatonakali;község;718;585;46.8830854;17.7518613;LocLevel.PRECISE
VES;Tapolcai;Kapolcs;község;395;321;46.9559035;17.6089272;LocLevel.PRECISE
VAS;Celldömölki;Keléd;község;90;73;47.0758821;17.1169105;LocLevel.PRECISE
ZAL;Zalaegerszegi;Lakhegy;község;455;367;46.952183;16.8322618;LocLevel.PRECISE
GYO;Soproni;Zsira;község;866;696;47.4560444;16.6807707;LocLevel.PRECISE
BOR;Miskolci;Répáshuta;község;432;347;48.0487762;20.5271494;LocLevel.PRECISE
FEJ;Gárdonyi;Sukoró;község;1860;1493;47.2419579;18.59782;LocLevel.PRECISE
BOR;Edelényi;Irota;község;86;69;48.3982274;20.8758762;LocLevel.PRECISE
VES;Balatonfüredi;Lovas;község;504;404;46.9933669;17.9588089;LocLevel.PRECISE
BOR;Tokaji;Tokaj;város;3771;3018;48.1235534;21.4113895;LocLevel.PRECISE
GYO;Téti;Rábaszentmiklós;község;144;115;47.5379181;17.4171145;LocLevel.PRECISE
VAS;Szombathelyi;Vaskeresztes;község;340;271;47.1939865;16.4486687;LocLevel.PRECISE
VES;Veszprémi;Veszprém;megye székhely;54542;43348;47.0928058;17.9140147;LocLevel.PRECISE
NOG;Pásztói;Alsótold;község;235;186;47.9540746;19.59694;LocLevel.PRECISE
BOR;Tokaji;Bodrogkeresztúr;község;1006;795;48.15876;21.3606584;LocLevel.PRECISE
PES;Dunakeszi;Göd;város;21635;17079;47.6834336;19.1341568;LocLevel.PRECISE
GYO;Pannonhalmi;Pannonhalma;város;3516;2774;47.5502015;17.7541679;LocLevel.PRECISE
GYO;Kapuvári;Mihályi;község;1084;854;47.5157574;17.0950326;LocLevel.PRECISE
FEJ;Székesfehérvári;Székesfehérvár;megye székhely;95093;74914;47.1910169;18.410811;LocLevel.PRECISE
